,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
26,26,1966-09-25,1966,4,False,Boston Patriots,24.0,43.0,Kansas City Chiefs,,"(0, 1)","(0, 1)",Fenway Park,False,55.0,"(20.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
38,38,1966-10-02,1966,5,False,Boston Patriots,24.0,24.0,New York Jets,,"(0, 1)","(0, 1)",Fenway Park,False,53.0,"(15.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
70,70,1966-10-23,1966,8,False,Boston Patriots,35.0,17.0,San Diego Chargers,,"(0, 1)","(0, 1)",Fenway Park,False,58.0,"(12.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
81,81,1966-10-30,1966,9,False,Boston Patriots,24.0,21.0,Oakland Raiders,,"(0, 1)","(0, 1)",Fenway Park,False,41.0,"(23.0, 0)","(36.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
92,92,1966-11-06,1966,10,False,Boston Patriots,10.0,17.0,Denver Broncos,,"(0, 1)","(0, 1)",Fenway Park,False,44.0,"(25.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
103,103,1966-11-13,1966,11,False,Boston Patriots,27.0,21.0,Houston Oilers,,"(0, 1)","(0, 1)",Fenway Park,False,46.0,"(18.0, 0)","(55.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
137,137,1966-12-04,1966,14,False,Boston Patriots,14.0,3.0,Buffalo Bills,,"(0, 1)","(0, 1)",Fenway Park,False,21.0,"(15.0, 0)","(42.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
225,225,1967-10-15,1967,7,False,Boston Patriots,41.0,10.0,Miami Dolphins,,"(0, 1)","(0, 1)",Alumni Stadium,False,54.0,"(11.0, 0)","(75.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
235,235,1967-10-22,1967,8,False,Boston Patriots,14.0,48.0,Oakland Raiders,,"(0, 1)","(0, 1)",Fenway Park,False,52.0,"(16.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
260,260,1967-11-05,1967,10,False,Boston Patriots,18.0,7.0,Houston Oilers,,"(0, 1)","(0, 1)",Fenway Park,False,46.0,"(19.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
272,272,1967-11-12,1967,11,False,Boston Patriots,10.0,33.0,Kansas City Chiefs,,"(0, 1)","(0, 1)",Fenway Park,False,50.0,"(14.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
285,285,1967-11-19,1967,12,False,Boston Patriots,24.0,29.0,New York Jets,,"(0, 1)","(0, 1)",Fenway Park,False,41.0,"(22.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
319,319,1967-12-09,1967,15,False,Boston Patriots,16.0,44.0,Buffalo Bills,,"(0, 1)","(0, 1)",Fenway Park,False,41.0,"(16.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
369,369,1968-09-22,1968,3,False,Boston Patriots,31.0,47.0,New York Jets,,"(0, 1)","(0, 1)",Legion Field,True,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
407,407,1968-10-13,1968,6,False,Boston Patriots,0.0,16.0,Houston Oilers,,"(0, 1)","(0, 1)",Fenway Park,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
419,419,1968-10-20,1968,7,False,Boston Patriots,23.0,6.0,Buffalo Bills,,"(0, 1)","(0, 1)",Fenway Park,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
445,445,1968-11-03,1968,9,False,Boston Patriots,14.0,35.0,Denver Broncos,,"(0, 1)","(0, 1)",Fenway Park,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
458,458,1968-11-10,1968,10,False,Boston Patriots,17.0,27.0,San Diego Chargers,,"(0, 1)","(0, 1)",Fenway Park,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
484,484,1968-11-24,1968,12,False,Boston Patriots,10.0,34.0,Miami Dolphins,,"(0, 1)","(0, 1)",Fenway Park,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
500,500,1968-12-01,1968,13,False,Boston Patriots,33.0,14.0,Cincinnati Bengals,,"(0, 1)","(0, 1)",Fenway Park,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
547,547,1969-09-21,1969,2,False,Boston Patriots,0.0,31.0,Kansas City Chiefs,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
557,557,1969-09-28,1969,3,False,Boston Patriots,23.0,38.0,Oakland Raiders,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
573,573,1969-10-05,1969,4,False,Boston Patriots,14.0,23.0,New York Jets,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
597,597,1969-10-19,1969,6,False,Boston Patriots,10.0,13.0,San Diego Chargers,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
624,624,1969-11-02,1969,8,False,Boston Patriots,24.0,0.0,Houston Oilers,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
636,636,1969-11-09,1969,9,False,Boston Patriots,16.0,17.0,Miami Dolphins,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
661,661,1969-11-23,1969,11,False,Boston Patriots,35.0,21.0,Buffalo Bills,,"(0, 1)","(0, 1)",Alumni Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
730,730,1970-09-20,1970,1,False,Boston Patriots,27.0,14.0,Miami Dolphins,,"(0, 1)","(0, 1)",Harvard Stadium,False,66.0,"(12.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
741,741,1970-09-27,1970,2,False,Boston Patriots,21.0,31.0,New York Jets,,"(0, 1)","(0, 1)",Harvard Stadium,False,69.0,"(16.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
757,757,1970-10-04,1970,3,False,Boston Patriots,6.0,14.0,Baltimore Colts,,"(0, 1)","(0, 1)",Harvard Stadium,False,59.0,"(17.0, 0)","(68.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
772,772,1970-10-11,1970,4,False,Kansas City Chiefs,23.0,10.0,Boston Patriots,,"(0, 1)","(0, 1)",Kansas City Municipal Stadium,False,57.0,"(9.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
780,780,1970-10-18,1970,5,False,Boston Patriots,0.0,16.0,New York Giants,,"(0, 1)","(0, 1)",Harvard Stadium,False,46.0,"(22.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
794,794,1970-10-25,1970,6,False,Baltimore Colts,27.0,3.0,Boston Patriots,,"(0, 1)","(0, 1)",Memorial Stadium (Baltimore),False,61.0,"(6.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
808,808,1970-11-01,1970,7,False,Boston Patriots,10.0,45.0,Buffalo Bills,,"(0, 1)","(0, 1)",Harvard Stadium,False,48.0,"(8.0, 0)","(87.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
829,829,1970-11-08,1970,8,False,St. Louis Cardinals,31.0,0.0,Boston Patriots,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,49.0,"(10.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
833,833,1970-11-15,1970,9,False,Boston Patriots,14.0,16.0,San Diego Chargers,,"(0, 1)","(0, 1)",Harvard Stadium,False,44.0,"(17.0, 0)","(97.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
854,854,1970-11-22,1970,10,False,New York Jets,17.0,3.0,Boston Patriots,,"(0, 1)","(0, 1)",Shea Stadium,False,50.0,"(15.0, 0)","(49.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
861,861,1970-11-29,1970,11,False,Buffalo Bills,10.0,14.0,Boston Patriots,,"(0, 1)","(0, 1)",War Memorial Stadium,False,40.0,"(11.0, 0)","(91.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
877,877,1970-12-06,1970,12,False,Miami Dolphins,37.0,20.0,Boston Patriots,,"(0, 1)","(0, 1)",Orange Bowl,False,69.0,"(8.0, 0)","(69.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
887,887,1970-12-13,1970,13,False,Boston Patriots,14.0,35.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Harvard Stadium,False,25.0,"(17.0, 0)","(92.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
899,899,1970-12-20,1970,14,False,Cincinnati Bengals,45.0,7.0,Boston Patriots,,"(0, 1)","(0, 1)",Cinergy Field,False,36.0,"(10.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
