,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
12682,12682,2020-09-13,2020,1,False,Carolina Panthers,30.0,34.0,Las Vegas Raiders,LVR,"(-3.0, 0)","(48.0, 0)",Bank of America Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12709,12709,2020-09-21,2020,2,False,Las Vegas Raiders,34.0,24.0,New Orleans Saints,NO,"(-5.5, 0)","(48.5, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12719,12719,2020-09-27,2020,3,False,New England Patriots,36.0,20.0,Las Vegas Raiders,NE,"(-6.5, 0)","(47.0, 0)",Gillette Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12733,12733,2020-10-04,2020,4,False,Las Vegas Raiders,23.0,30.0,Buffalo Bills,BUF,"(-3.0, 0)","(53.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12747,12747,2020-10-11,2020,5,False,Kansas City Chiefs,32.0,40.0,Las Vegas Raiders,KC,"(-10.5, 0)","(54.5, 0)",Arrowhead Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12775,12775,2020-10-25,2020,7,False,Las Vegas Raiders,20.0,45.0,Tampa Bay Buccaneers,TB,"(-3.5, 0)","(52.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12788,12788,2020-11-01,2020,8,False,Cleveland Browns,6.0,16.0,Las Vegas Raiders,CLE,"(-1.5, 0)","(48.0, 0)",FirstEnergy Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12805,12805,2020-11-08,2020,9,False,Los Angeles Chargers,26.0,31.0,Las Vegas Raiders,LVR,"(-1.0, 0)","(52.5, 0)",SoFi Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12817,12817,2020-11-15,2020,10,False,Las Vegas Raiders,37.0,12.0,Denver Broncos,LVR,"(-3.5, 0)","(50.5, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12833,12833,2020-11-22,2020,11,False,Las Vegas Raiders,31.0,35.0,Kansas City Chiefs,KC,"(-7.5, 0)","(57.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12841,12841,2020-11-29,2020,12,False,Atlanta Falcons,43.0,6.0,Las Vegas Raiders,LVR,"(-3.0, 0)","(53.5, 0)",Mercedes-Benz Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12864,12864,2020-12-06,2020,13,False,New York Jets,28.0,31.0,Las Vegas Raiders,LVR,"(-7.5, 0)","(48.5, 0)",MetLife Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12877,12877,2020-12-13,2020,14,False,Las Vegas Raiders,27.0,44.0,Indianapolis Colts,IND,"(-2.5, 0)","(52.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12886,12886,2020-12-17,2020,15,False,Las Vegas Raiders,27.0,30.0,Los Angeles Chargers,LVR,"(-3.5, 0)","(52.5, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12905,12905,2020-12-26,2020,16,False,Las Vegas Raiders,25.0,26.0,Miami Dolphins,MIA,"(-2.5, 0)","(50.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12923,12923,2021-01-03,2020,17,False,Denver Broncos,31.0,32.0,Las Vegas Raiders,LVR,"(-2.5, 0)","(50.5, 0)",Sports Authority Field at Mile High,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12962,12962,2021-09-13,2021,1,False,Las Vegas Raiders,33.0,27.0,Baltimore Ravens,BAL,"(-4.5, 0)","(51.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12975,12975,2021-09-19,2021,2,False,Pittsburgh Steelers,17.0,26.0,Las Vegas Raiders,PIT,"(-6.0, 0)","(47.5, 0)",Heinz Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12986,12986,2021-09-26,2021,3,False,Las Vegas Raiders,31.0,28.0,Miami Dolphins,LVR,"(-3.5, 0)","(45.0, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13010,13010,2021-10-04,2021,4,False,Los Angeles Chargers,28.0,14.0,Las Vegas Raiders,LAC,"(-3.0, 0)","(51.5, 0)",SoFi Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
