,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9,9,1966-09-11,1966,1,False,Detroit Lions,14.0,3.0,Chicago Bears,,"(0, 1)","(0, 1)",Tiger Stadium,False,67.0,"(7.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
23,23,1966-09-18,1966,2,False,Pittsburgh Steelers,17.0,3.0,Detroit Lions,,"(0, 1)","(0, 1)",Pitt Stadium,False,62.0,"(4.0, 0)","(67.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
31,31,1966-09-25,1966,3,False,Detroit Lions,28.0,10.0,Atlanta Falcons,,"(0, 1)","(0, 1)",Tiger Stadium,False,56.0,"(9.0, 0)","(58.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
40,40,1966-10-02,1966,4,False,Green Bay Packers,23.0,14.0,Detroit Lions,,"(0, 1)","(0, 1)",Lambeau Field,False,49.0,"(10.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
53,53,1966-10-09,1966,5,False,Detroit Lions,7.0,14.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Tiger Stadium,False,62.0,"(12.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
59,59,1966-10-16,1966,6,False,Baltimore Colts,45.0,14.0,Detroit Lions,,"(0, 1)","(0, 1)",Memorial Stadium (Baltimore),False,64.0,"(12.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
78,78,1966-10-23,1966,7,False,San Francisco 49ers,27.0,24.0,Detroit Lions,,"(0, 1)","(0, 1)",Kezar Stadium,False,60.0,"(9.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
83,83,1966-10-30,1966,8,False,Detroit Lions,7.0,31.0,Green Bay Packers,,"(0, 1)","(0, 1)",Tiger Stadium,False,37.0,"(9.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
93,93,1966-11-06,1966,9,False,Chicago Bears,10.0,10.0,Detroit Lions,,"(0, 1)","(0, 1)",Wrigley Field,False,38.0,"(11.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
109,109,1966-11-13,1966,10,False,Minnesota Vikings,31.0,32.0,Detroit Lions,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,30.0,"(13.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
115,115,1966-11-20,1966,11,False,Detroit Lions,20.0,14.0,Baltimore Colts,,"(0, 1)","(0, 1)",Tiger Stadium,False,32.0,"(7.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
125,125,1966-11-24,1966,12,False,Detroit Lions,14.0,41.0,San Francisco 49ers,,"(0, 1)","(0, 1)",Tiger Stadium,False,55.0,"(11.0, 0)","(80.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
143,143,1966-12-04,1966,13,False,Los Angeles Rams,23.0,3.0,Detroit Lions,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,57.0,"(8.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
149,149,1966-12-11,1966,14,False,Detroit Lions,16.0,28.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Tiger Stadium,False,28.0,"(13.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
179,179,1967-09-17,1967,1,False,Green Bay Packers,17.0,17.0,Detroit Lions,,"(0, 1)","(0, 1)",Lambeau Field,False,69.0,"(6.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
191,191,1967-09-24,1967,2,False,Detroit Lions,31.0,14.0,Cleveland Browns,,"(0, 1)","(0, 1)",Tiger Stadium,False,55.0,"(14.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
209,209,1967-10-01,1967,3,False,St. Louis Cardinals,38.0,28.0,Detroit Lions,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,68.0,"(12.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
216,216,1967-10-08,1967,4,False,Detroit Lions,17.0,27.0,Green Bay Packers,,"(0, 1)","(0, 1)",Tiger Stadium,False,60.0,"(14.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
227,227,1967-10-15,1967,5,False,Chicago Bears,14.0,3.0,Detroit Lions,,"(0, 1)","(0, 1)",Wrigley Field,False,58.0,"(8.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
238,238,1967-10-22,1967,6,False,Detroit Lions,24.0,3.0,Atlanta Falcons,,"(0, 1)","(0, 1)",Tiger Stadium,False,40.0,"(8.0, 0)","(68.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
256,256,1967-10-29,1967,7,False,San Francisco 49ers,3.0,45.0,Detroit Lions,,"(0, 1)","(0, 1)",Kezar Stadium,False,58.0,"(15.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
264,264,1967-11-05,1967,8,False,Detroit Lions,13.0,27.0,Chicago Bears,,"(0, 1)","(0, 1)",Tiger Stadium,False,32.0,"(15.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
277,277,1967-11-12,1967,9,False,Minnesota Vikings,10.0,10.0,Detroit Lions,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,42.0,"(18.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
284,284,1967-11-19,1967,10,False,Baltimore Colts,41.0,7.0,Detroit Lions,,"(0, 1)","(0, 1)",Memorial Stadium (Baltimore),False,45.0,"(24.0, 0)","(44.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
296,296,1967-11-23,1967,11,False,Detroit Lions,7.0,31.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Tiger Stadium,False,33.0,"(11.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
309,309,1967-12-03,1967,12,False,Detroit Lions,14.0,24.0,Pittsburgh Steelers,,"(0, 1)","(0, 1)",Tiger Stadium,False,34.0,"(12.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
327,327,1967-12-10,1967,13,False,New York Giants,7.0,30.0,Detroit Lions,,"(0, 1)","(0, 1)",Yankee Stadium,False,36.0,"(14.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
335,335,1967-12-17,1967,14,False,Detroit Lions,14.0,3.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Tiger Stadium,False,29.0,"(11.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
360,360,1968-09-15,1968,1,False,Dallas Cowboys,59.0,13.0,Detroit Lions,,"(0, 1)","(0, 1)",Cotton Bowl,False,70.0,"(6.0, 0)","(89.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
372,372,1968-09-22,1968,2,False,Detroit Lions,42.0,0.0,Chicago Bears,,"(0, 1)","(0, 1)",Tiger Stadium,False,70.0,"(7.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
384,384,1968-09-29,1968,3,False,Green Bay Packers,17.0,23.0,Detroit Lions,,"(0, 1)","(0, 1)",Lambeau Field,False,52.0,"(8.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
400,400,1968-10-06,1968,4,False,Minnesota Vikings,24.0,10.0,Detroit Lions,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,49.0,"(10.0, 0)","(85.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
408,408,1968-10-13,1968,5,False,Chicago Bears,10.0,28.0,Detroit Lions,,"(0, 1)","(0, 1)",Wrigley Field,False,67.0,"(9.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
421,421,1968-10-20,1968,6,False,Detroit Lions,14.0,14.0,Green Bay Packers,,"(0, 1)","(0, 1)",Tiger Stadium,False,49.0,"(11.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
436,436,1968-10-27,1968,7,False,Detroit Lions,7.0,14.0,San Francisco 49ers,,"(0, 1)","(0, 1)",Tiger Stadium,False,46.0,"(18.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
448,448,1968-11-03,1968,8,False,Los Angeles Rams,10.0,7.0,Detroit Lions,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,61.0,"(10.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
465,465,1968-11-10,1968,9,False,Detroit Lions,10.0,27.0,Baltimore Colts,,"(0, 1)","(0, 1)",Tiger Stadium,False,33.0,"(7.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
473,473,1968-11-17,1968,10,False,Detroit Lions,6.0,13.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Tiger Stadium,False,42.0,"(11.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
489,489,1968-11-24,1968,11,False,Detroit Lions,20.0,20.0,New Orleans Saints,,"(0, 1)","(0, 1)",Tiger Stadium,False,50.0,"(15.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
496,496,1968-11-28,1968,12,False,Detroit Lions,0.0,12.0,Philadelphia Eagles,,"(0, 1)","(0, 1)",Tiger Stadium,False,40.0,"(15.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
510,510,1968-12-08,1968,13,False,Atlanta Falcons,7.0,24.0,Detroit Lions,,"(0, 1)","(0, 1)",Atlanta-Fulton County Stadium,False,32.0,"(9.0, 0)","(48.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
532,532,1968-12-15,1968,14,False,Washington Redskins,14.0,3.0,Detroit Lions,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,29.0,"(21.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
556,556,1969-09-21,1969,1,False,Pittsburgh Steelers,16.0,13.0,Detroit Lions,,"(0, 1)","(0, 1)",Pitt Stadium,False,56.0,"(8.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
561,561,1969-09-28,1969,2,False,Detroit Lions,24.0,0.0,New York Giants,,"(0, 1)","(0, 1)",Tiger Stadium,False,55.0,"(12.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
574,574,1969-10-05,1969,3,False,Cleveland Browns,21.0,28.0,Detroit Lions,,"(0, 1)","(0, 1)",Cleveland Municipal Stadium,False,57.0,"(10.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
589,589,1969-10-12,1969,4,False,Detroit Lions,17.0,28.0,Green Bay Packers,,"(0, 1)","(0, 1)",Tiger Stadium,False,56.0,"(12.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
