,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
7,7,1966-09-11,1966,1,False,Atlanta Falcons,14.0,19.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Atlanta-Fulton County Stadium,False,71.0,"(7.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
14,14,1966-09-16,1966,2,False,Los Angeles Rams,31.0,17.0,Chicago Bears,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,72.0,"(10.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
32,32,1966-09-25,1966,3,False,Green Bay Packers,24.0,13.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Lambeau Field,False,46.0,"(9.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
36,36,1966-09-30,1966,4,False,Los Angeles Rams,34.0,3.0,San Francisco 49ers,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,70.0,"(9.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
53,53,1966-10-09,1966,5,False,Detroit Lions,7.0,14.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Tiger Stadium,False,62.0,"(12.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
65,65,1966-10-16,1966,6,False,Minnesota Vikings,35.0,7.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,36.0,"(9.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
71,71,1966-10-23,1966,7,False,Chicago Bears,17.0,10.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Wrigley Field,False,48.0,"(10.0, 0)","(41.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
85,85,1966-10-30,1966,8,False,Los Angeles Rams,3.0,17.0,Baltimore Colts,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,64.0,"(9.0, 0)","(76.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
101,101,1966-11-06,1966,9,False,San Francisco 49ers,21.0,13.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Kezar Stadium,False,54.0,"(15.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
108,108,1966-11-13,1966,10,False,Los Angeles Rams,55.0,14.0,New York Giants,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,62.0,"(9.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
119,119,1966-11-20,1966,11,False,Los Angeles Rams,21.0,6.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,63.0,"(8.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
127,127,1966-11-27,1966,12,False,Baltimore Colts,7.0,23.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Memorial Stadium (Baltimore),False,44.0,"(8.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
