,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11,11,1966-09-11,1966,1,False,San Francisco 49ers,20.0,20.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Kezar Stadium,False,60.0,"(25.0, 0)","(75.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
19,19,1966-09-18,1966,2,False,Minnesota Vikings,23.0,38.0,Baltimore Colts,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,60.0,"(4.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
29,29,1966-09-25,1966,3,False,Dallas Cowboys,28.0,17.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Cotton Bowl,False,76.0,"(12.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
42,42,1966-10-02,1966,4,False,Minnesota Vikings,10.0,13.0,Chicago Bears,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,50.0,"(12.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
65,65,1966-10-16,1966,6,False,Minnesota Vikings,35.0,7.0,Los Angeles Rams,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,36.0,"(9.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
69,69,1966-10-23,1966,7,False,Baltimore Colts,20.0,17.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Memorial Stadium (Baltimore),False,56.0,"(6.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
86,86,1966-10-30,1966,8,False,Minnesota Vikings,28.0,3.0,San Francisco 49ers,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,39.0,"(13.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
94,94,1966-11-06,1966,9,False,Green Bay Packers,17.0,20.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Lambeau Field,False,31.0,"(13.0, 0)","(80.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
109,109,1966-11-13,1966,10,False,Minnesota Vikings,31.0,32.0,Detroit Lions,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,30.0,"(13.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
119,119,1966-11-20,1966,11,False,Los Angeles Rams,21.0,6.0,Minnesota Vikings,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,63.0,"(8.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
