,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10,10,1966-09-11,1966,1,False,Pittsburgh Steelers,34.0,34.0,New York Giants,,"(0, 1)","(0, 1)",Pitt Stadium,False,64.0,"(5.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
17,17,1966-09-18,1966,2,False,Dallas Cowboys,52.0,7.0,New York Giants,,"(0, 1)","(0, 1)",Cotton Bowl,False,72.0,"(9.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
34,34,1966-09-25,1966,3,False,Philadelphia Eagles,35.0,17.0,New York Giants,,"(0, 1)","(0, 1)",Franklin Field,False,55.0,"(11.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
43,43,1966-10-02,1966,4,False,New York Giants,7.0,28.0,Cleveland Browns,,"(0, 1)","(0, 1)",Yankee Stadium,False,52.0,"(13.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
56,56,1966-10-09,1966,5,False,St. Louis Cardinals,24.0,19.0,New York Giants,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,64.0,"(10.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
66,66,1966-10-16,1966,6,False,New York Giants,13.0,10.0,Washington Redskins,,"(0, 1)","(0, 1)",Yankee Stadium,False,64.0,"(14.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
76,76,1966-10-23,1966,7,False,New York Giants,3.0,31.0,Philadelphia Eagles,,"(0, 1)","(0, 1)",Yankee Stadium,False,59.0,"(10.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
97,97,1966-11-06,1966,9,False,New York Giants,17.0,20.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Yankee Stadium,False,48.0,"(14.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
108,108,1966-11-13,1966,10,False,Los Angeles Rams,55.0,14.0,New York Giants,,"(0, 1)","(0, 1)",Los Angeles Memorial Coliseum,False,62.0,"(9.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
120,120,1966-11-20,1966,11,False,New York Giants,16.0,27.0,Atlanta Falcons,,"(0, 1)","(0, 1)",Yankee Stadium,False,36.0,"(16.0, 0)","(44.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
134,134,1966-11-27,1966,12,False,Washington Redskins,72.0,41.0,New York Giants,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,42.0,"(5.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
138,138,1966-12-04,1966,13,False,Cleveland Browns,49.0,40.0,New York Giants,,"(0, 1)","(0, 1)",Cleveland Municipal Stadium,False,18.0,"(8.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
152,152,1966-12-11,1966,14,False,New York Giants,28.0,47.0,Pittsburgh Steelers,,"(0, 1)","(0, 1)",Yankee Stadium,False,54.0,"(15.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
164,164,1966-12-18,1966,15,False,New York Giants,7.0,17.0,Dallas Cowboys,,"(0, 1)","(0, 1)",Yankee Stadium,False,50.0,"(14.0, 0)","(49.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
186,186,1967-09-17,1967,1,False,St. Louis Cardinals,20.0,37.0,New York Giants,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,72.0,"(5.0, 0)","(90.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
189,189,1967-09-24,1967,2,False,Dallas Cowboys,38.0,24.0,New York Giants,,"(0, 1)","(0, 1)",Cotton Bowl,False,77.0,"(4.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
210,210,1967-10-01,1967,3,False,Washington Redskins,38.0,34.0,New York Giants,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,56.0,"(9.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
220,220,1967-10-08,1967,4,False,New York Giants,27.0,21.0,New Orleans Saints,,"(0, 1)","(0, 1)",Yankee Stadium,False,55.0,"(10.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
233,233,1967-10-15,1967,5,False,Pittsburgh Steelers,24.0,27.0,New York Giants,,"(0, 1)","(0, 1)",Pitt Stadium,False,54.0,"(6.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
243,243,1967-10-22,1967,6,False,New York Giants,21.0,48.0,Green Bay Packers,,"(0, 1)","(0, 1)",Yankee Stadium,False,54.0,"(10.0, 0)","(46.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
252,252,1967-10-29,1967,7,False,New York Giants,38.0,34.0,Cleveland Browns,,"(0, 1)","(0, 1)",Yankee Stadium,False,46.0,"(12.0, 0)","(47.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
266,266,1967-11-05,1967,8,False,Minnesota Vikings,27.0,24.0,New York Giants,,"(0, 1)","(0, 1)",Metropolitan Stadium,False,26.0,"(13.0, 0)","(60.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
273,273,1967-11-12,1967,9,False,Chicago Bears,34.0,7.0,New York Giants,,"(0, 1)","(0, 1)",Wrigley Field,False,51.0,"(15.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
292,292,1967-11-19,1967,10,False,New York Giants,28.0,20.0,Pittsburgh Steelers,,"(0, 1)","(0, 1)",Yankee Stadium,False,43.0,"(20.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
304,304,1967-11-26,1967,11,False,New York Giants,44.0,7.0,Philadelphia Eagles,,"(0, 1)","(0, 1)",Yankee Stadium,False,48.0,"(14.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
308,308,1967-12-03,1967,12,False,Cleveland Browns,24.0,14.0,New York Giants,,"(0, 1)","(0, 1)",Cleveland Municipal Stadium,False,39.0,"(15.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
327,327,1967-12-10,1967,13,False,New York Giants,7.0,30.0,Detroit Lions,,"(0, 1)","(0, 1)",Yankee Stadium,False,36.0,"(14.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
339,339,1967-12-17,1967,14,False,New York Giants,37.0,14.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Yankee Stadium,False,38.0,"(15.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
364,364,1968-09-15,1968,1,False,Pittsburgh Steelers,20.0,34.0,New York Giants,,"(0, 1)","(0, 1)",Pitt Stadium,False,64.0,"(5.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
377,377,1968-09-22,1968,2,False,Philadelphia Eagles,25.0,34.0,New York Giants,,"(0, 1)","(0, 1)",Franklin Field,False,70.0,"(9.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
388,388,1968-09-29,1968,3,False,New York Giants,48.0,21.0,Washington Redskins,,"(0, 1)","(0, 1)",Yankee Stadium,False,62.0,"(13.0, 0)","(49.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
401,401,1968-10-06,1968,4,False,New York Giants,38.0,21.0,New Orleans Saints,,"(0, 1)","(0, 1)",Yankee Stadium,False,54.0,"(10.0, 0)","(45.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
406,406,1968-10-13,1968,5,False,Atlanta Falcons,24.0,21.0,New York Giants,,"(0, 1)","(0, 1)",Atlanta-Fulton County Stadium,False,69.0,"(5.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
426,426,1968-10-20,1968,6,False,New York Giants,10.0,26.0,San Francisco 49ers,,"(0, 1)","(0, 1)",Yankee Stadium,False,63.0,"(13.0, 0)","(58.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
442,442,1968-10-27,1968,7,False,Washington Redskins,10.0,13.0,New York Giants,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,46.0,"(12.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
