,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
4452,4452,1988-09-04,1988,1,False,Cincinnati Bengals,21.0,14.0,Phoenix Cardinals,CIN,"(-5.5, 0)","(47.0, 0)",Cinergy Field,False,68.0,"(10.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4477,4477,1988-09-12,1988,2,False,Phoenix Cardinals,14.0,17.0,Dallas Cowboys,ARI,"(-2.5, 0)","(45.0, 0)",Sun Devil Stadium,False,89.0,"(10.0, 0)","(25.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4489,4489,1988-09-18,1988,3,False,Tampa Bay Buccaneers,24.0,30.0,Phoenix Cardinals,ARI,"(-3.0, 0)","(42.0, 0)",Houlihan's Stadium,False,81.0,"(6.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4503,4503,1988-09-25,1988,4,False,Phoenix Cardinals,30.0,21.0,Washington Redskins,WAS,"(-3.5, 0)","(41.0, 0)",Sun Devil Stadium,False,84.0,"(7.0, 0)","(27.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4509,4509,1988-10-02,1988,5,False,Los Angeles Rams,27.0,41.0,Phoenix Cardinals,LAR,"(-7.5, 0)","(42.0, 0)",Anaheim Stadium,False,64.0,"(10.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4530,4530,1988-10-09,1988,6,False,Phoenix Cardinals,31.0,14.0,Pittsburgh Steelers,ARI,"(-6.0, 0)","(44.0, 0)",Sun Devil Stadium,False,84.0,"(5.0, 0)","(19.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4546,4546,1988-10-16,1988,7,False,Washington Redskins,33.0,17.0,Phoenix Cardinals,WAS,"(-6.5, 0)","(46.0, 0)",RFK Memorial Stadium,False,61.0,"(9.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4557,4557,1988-10-23,1988,8,False,Phoenix Cardinals,21.0,29.0,Cleveland Browns,CLE,"(-1.0, 0)","(41.0, 0)",Sun Devil Stadium,False,80.0,"(7.0, 0)","(46.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4564,4564,1988-10-30,1988,9,False,Dallas Cowboys,10.0,16.0,Phoenix Cardinals,DAL,"(-3.0, 0)","(43.0, 0)",Texas Stadium,False,57.0,"(10.0, 0)","(95.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4585,4585,1988-11-06,1988,10,False,Phoenix Cardinals,24.0,23.0,San Francisco 49ers,ARI,"(-3.0, 0)","(44.0, 0)",Sun Devil Stadium,False,74.0,"(6.0, 0)","(30.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4598,4598,1988-11-13,1988,11,False,Phoenix Cardinals,24.0,17.0,New York Giants,ARI,"(-2.0, 0)","(44.0, 0)",Sun Devil Stadium,False,68.0,"(6.0, 0)","(35.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
4608,4608,1988-11-20,1988,12,False,Houston Oilers,38.0,20.0,Phoenix Cardinals,TEN,"(-6.0, 0)","(44.0, 0)",Houston Astrodome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4627,4627,1988-11-27,1988,13,False,Philadelphia Eagles,31.0,21.0,Phoenix Cardinals,PHI,"(-5.5, 0)","(45.0, 0)",Veterans Stadium,False,55.0,"(11.0, 0)","(88.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
