,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
12,12,1966-09-11,1966,1,False,St. Louis Cardinals,16.0,13.0,Philadelphia Eagles,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,72.0,"(5.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
24,24,1966-09-18,1966,2,False,St. Louis Cardinals,23.0,7.0,Washington Redskins,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,63.0,"(5.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
28,28,1966-09-25,1966,3,False,Cleveland Browns,28.0,34.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Cleveland Municipal Stadium,False,53.0,"(9.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
44,44,1966-10-02,1966,4,False,Philadelphia Eagles,10.0,41.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Franklin Field,False,50.0,"(10.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
56,56,1966-10-09,1966,5,False,St. Louis Cardinals,24.0,19.0,New York Giants,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,64.0,"(10.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
68,68,1966-10-16,1966,6,False,St. Louis Cardinals,10.0,10.0,Dallas Cowboys,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,44.0,"(13.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
79,79,1966-10-23,1966,7,False,Washington Redskins,26.0,20.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,58.0,"(6.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
90,90,1966-10-31,1966,8,False,St. Louis Cardinals,24.0,17.0,Chicago Bears,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,53.0,"(12.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
97,97,1966-11-06,1966,9,False,New York Giants,17.0,20.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Yankee Stadium,False,48.0,"(14.0, 0)","(66.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
110,110,1966-11-13,1966,10,False,Pittsburgh Steelers,30.0,9.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",Pitt Stadium,False,39.0,"(9.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
