,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
6606,6606,1997-08-31,1997,1,False,Tennessee Oilers,24.0,21.0,Oakland Raiders,LVR,"(-3.0, 0)","(39.5, 0)",Liberty Bowl Memorial Stadium,False,80.0,"(8.0, 0)","(78.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6615,6615,1997-09-07,1997,2,False,Miami Dolphins,16.0,13.0,Tennessee Oilers,MIA,"(-6.5, 0)","(40.0, 0)",Sun Life Stadium,False,80.0,"(11.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6647,6647,1997-09-21,1997,4,False,Tennessee Oilers,10.0,36.0,Baltimore Ravens,TEN,"(-4.5, 0)","(43.5, 0)",Liberty Bowl Memorial Stadium,False,71.0,"(13.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6657,6657,1997-09-28,1997,5,False,Pittsburgh Steelers,37.0,24.0,Tennessee Oilers,PIT,"(-6.0, 0)","(41.0, 0)",Three Rivers Stadium,False,60.0,"(8.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6673,6673,1997-10-05,1997,6,False,Seattle Seahawks,16.0,13.0,Tennessee Oilers,SEA,"(-5.5, 0)","(42.5, 0)",Seattle Kingdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
6685,6685,1997-10-12,1997,7,False,Tennessee Oilers,30.0,7.0,Cincinnati Bengals,TEN,"(-2.5, 0)","(42.5, 0)",Liberty Bowl Memorial Stadium,False,74.0,"(12.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6698,6698,1997-10-19,1997,8,False,Tennessee Oilers,28.0,14.0,Washington Redskins,WAS,"(-2.0, 0)","(41.0, 0)",Liberty Bowl Memorial Stadium,False,55.0,"(4.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6700,6700,1997-10-26,1997,9,False,Arizona Cardinals,14.0,41.0,Tennessee Oilers,ARI,"(-2.0, 0)","(38.0, 0)",University of Phoenix Stadium,False,62.0,"(7.0, 0)","(22.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6726,6726,1997-11-02,1997,10,False,Tennessee Oilers,24.0,30.0,Jacksonville Jaguars,JAX,"(-1.0, 0)","(43.5, 0)",Liberty Bowl Memorial Stadium,False,55.0,"(16.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6740,6740,1997-11-09,1997,11,False,Tennessee Oilers,10.0,6.0,New York Giants,TEN,"(-2.5, 0)","(39.0, 0)",Liberty Bowl Memorial Stadium,False,46.0,"(7.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6748,6748,1997-11-16,1997,12,False,Jacksonville Jaguars,17.0,9.0,Tennessee Oilers,JAX,"(-6.0, 0)","(42.5, 0)",EverBank Field,False,56.0,"(10.0, 0)","(58.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6770,6770,1997-11-23,1997,13,False,Tennessee Oilers,31.0,14.0,Buffalo Bills,TEN,"(-3.5, 0)","(37.0, 0)",Liberty Bowl Memorial Stadium,False,40.0,"(6.0, 0)","(90.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6773,6773,1997-11-27,1997,14,False,Dallas Cowboys,14.0,27.0,Tennessee Oilers,DAL,"(-6.5, 0)","(38.5, 0)",Texas Stadium,False,66.0,"(16.0, 0)","(68.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
6788,6788,1997-12-04,1997,15,False,Cincinnati Bengals,41.0,14.0,Tennessee Oilers,TEN,"(-3.0, 0)","(41.5, 0)",Cinergy Field,False,42.0,"(13.0, 0)","(84.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
