,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
13246,13246,2022-09-11,2022,1,False,Washington Commanders,28.0,22.0,Jacksonville Jaguars,WAS,"(-3.0, 0)","(43.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13253,13253,2022-09-18,2022,2,False,Detroit Lions,36.0,27.0,Washington Commanders,DET,"(-1.0, 0)","(48.0, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13278,13278,2022-09-25,2022,3,False,Washington Commanders,8.0,24.0,Philadelphia Eagles,PHI,"(-6.0, 0)","(47.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13284,13284,2022-10-02,2022,4,False,Dallas Cowboys,25.0,10.0,Washington Commanders,DAL,"(-3.0, 0)","(41.0, 0)",AT&T Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13310,13310,2022-10-09,2022,5,False,Washington Commanders,17.0,21.0,Tennessee Titans,TEN,"(-1.0, 0)","(43.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13312,13312,2022-10-13,2022,6,False,Chicago Bears,7.0,12.0,Washington Commanders,WAS,"(-1.0, 0)","(38.0, 0)",Soldier Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13338,13338,2022-10-23,2022,7,False,Washington Commanders,23.0,21.0,Green Bay Packers,GB,"(-4.0, 0)","(41.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13346,13346,2022-10-30,2022,8,False,Indianapolis Colts,16.0,17.0,Washington Commanders,IND,"(-3.0, 0)","(40.0, 0)",Lucas Oil Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13366,13366,2022-11-06,2022,9,False,Washington Commanders,17.0,20.0,Minnesota Vikings,MIN,"(-3.0, 0)","(43.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13381,13381,2022-11-14,2022,10,False,Philadelphia Eagles,21.0,32.0,Washington Commanders,PHI,"(-11.0, 0)","(43.0, 0)",Lincoln Financial Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13387,13387,2022-11-20,2022,11,False,Houston Texans,10.0,23.0,Washington Commanders,WAS,"(-3.0, 0)","(41.0, 0)",NRG Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13410,13410,2022-11-27,2022,12,False,Washington Commanders,19.0,13.0,Atlanta Falcons,WAS,"(-3.5, 0)","(40.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13423,13423,2022-12-04,2022,13,False,New York Giants,20.0,20.0,Washington Commanders,WAS,"(-2.5, 0)","(40.5, 0)",MetLife Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
