,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
12691,12691,2020-09-13,2020,1,False,Washington Football Team,27.0,17.0,Philadelphia Eagles,PHI,"(-5.0, 0)","(42.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12695,12695,2020-09-20,2020,2,False,Arizona Cardinals,30.0,15.0,Washington Football Team,ARI,"(-7.0, 0)","(46.5, 0)",University of Phoenix Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12714,12714,2020-09-27,2020,3,False,Cleveland Browns,34.0,20.0,Washington Football Team,CLE,"(-7.0, 0)","(44.5, 0)",FirstEnergy Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12738,12738,2020-10-04,2020,4,False,Washington Football Team,17.0,31.0,Baltimore Ravens,BAL,"(-14.0, 0)","(45.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12752,12752,2020-10-11,2020,5,False,Washington Football Team,10.0,30.0,Los Angeles Rams,LAR,"(-7.0, 0)","(46.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12761,12761,2020-10-18,2020,6,False,New York Giants,20.0,19.0,Washington Football Team,NYG,"(-2.5, 0)","(43.0, 0)",MetLife Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12781,12781,2020-10-25,2020,7,False,Washington Football Team,25.0,3.0,Dallas Cowboys,WAS,"(-1.0, 0)","(45.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12809,12809,2020-11-08,2020,9,False,Washington Football Team,20.0,23.0,New York Giants,WAS,"(-2.5, 0)","(43.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12815,12815,2020-11-15,2020,10,False,Detroit Lions,30.0,27.0,Washington Football Team,DET,"(-3.0, 0)","(46.0, 0)",Ford Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12837,12837,2020-11-22,2020,11,False,Washington Football Team,20.0,9.0,Cincinnati Bengals,WAS,"(-1.5, 0)","(47.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12839,12839,2020-11-26,2020,12,False,Dallas Cowboys,16.0,41.0,Washington Football Team,DAL,"(-3.0, 0)","(46.0, 0)",AT&T Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12867,12867,2020-12-07,2020,13,False,Pittsburgh Steelers,17.0,23.0,Washington Football Team,PIT,"(-6.0, 0)","(43.5, 0)",Heinz Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12882,12882,2020-12-13,2020,14,False,San Francisco 49ers,15.0,23.0,Washington Football Team,SF,"(-3.0, 0)","(43.5, 0)",Levi's Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12900,12900,2020-12-20,2020,15,False,Washington Football Team,15.0,20.0,Seattle Seahawks,SEA,"(-6.0, 0)","(44.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12916,12916,2020-12-27,2020,16,False,Washington Football Team,13.0,20.0,Carolina Panthers,CAR,"(-1.0, 0)","(42.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12931,12931,2021-01-03,2020,17,False,Philadelphia Eagles,14.0,20.0,Washington Football Team,WAS,"(-6.5, 0)","(43.5, 0)",Lincoln Financial Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12936,12936,2021-01-09,2020,Wildcard,True,Washington Football Team,23.0,31.0,Tampa Bay Buccaneers,TB,"(-10.0, 0)","(45.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12961,12961,2021-09-12,2021,1,False,Washington Football Team,16.0,20.0,Los Angeles Chargers,LAC,"(-1.0, 0)","(44.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12963,12963,2021-09-16,2021,2,False,Washington Football Team,30.0,29.0,New York Giants,WAS,"(-3.0, 0)","(41.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12980,12980,2021-09-26,2021,3,False,Buffalo Bills,43.0,21.0,Washington Football Team,BUF,"(-7.0, 0)","(45.5, 0)",Highmark Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12996,12996,2021-10-03,2021,4,False,Atlanta Falcons,30.0,34.0,Washington Football Team,WAS,"(-2.0, 0)","(47.5, 0)",Mercedes-Benz Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13025,13025,2021-10-10,2021,5,False,Washington Football Team,22.0,33.0,New Orleans Saints,NO,"(-2.5, 0)","(43.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13039,13039,2021-10-17,2021,6,False,Washington Football Team,13.0,31.0,Kansas City Chiefs,KC,"(-6.5, 0)","(54.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13044,13044,2021-10-24,2021,7,False,Green Bay Packers,24.0,10.0,Washington Football Team,GB,"(-8.5, 0)","(48.0, 0)",Lambeau Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13059,13059,2021-10-31,2021,8,False,Denver Broncos,17.0,10.0,Washington Football Team,DEN,"(-4.0, 0)","(45.0, 0)",Empower Field at Mile High,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13095,13095,2021-11-14,2021,10,False,Washington Football Team,29.0,19.0,Tampa Bay Buccaneers,TB,"(-10.0, 0)","(50.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13099,13099,2021-11-21,2021,11,False,Carolina Panthers,21.0,27.0,Washington Football Team,CAR,"(-3.0, 0)","(43.0, 0)",Bank of America Stadium,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13126,13126,2021-11-29,2021,12,False,Washington Football Team,17.0,15.0,Seattle Seahawks,SEA,"(-1.5, 0)","(46.5, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13134,13134,2021-12-05,2021,13,False,Las Vegas Raiders,15.0,17.0,Washington Football Team,LVR,"(-1.5, 0)","(47.5, 0)",Allegiant Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13153,13153,2021-12-12,2021,14,False,Washington Football Team,20.0,27.0,Dallas Cowboys,DAL,"(-6.5, 0)","(48.0, 0)",FedEx Field,False,,"(0, 1)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13170,13170,2021-12-21,2021,15,False,Philadelphia Eagles,27.0,17.0,Washington Football Team,PHI,"(-10.0, 0)","(39.5, 0)",Lincoln Financial Field,False,42.0,"(7.0, 0)","(57.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13177,13177,2021-12-26,2021,16,False,Dallas Cowboys,56.0,14.0,Washington Football Team,DAL,"(-10.0, 0)","(46.0, 0)",AT&T Stadium,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13201,13201,2022-01-02,2021,17,False,Washington Football Team,16.0,20.0,Philadelphia Eagles,PHI,"(-4.5, 0)","(44.5, 0)",FedEx Field,False,62.0,"(4.0, 0)","(91.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
13217,13217,2022-01-09,2021,18,False,New York Giants,7.0,22.0,Washington Football Team,WAS,"(-6.0, 0)","(36.0, 0)",MetLife Stadium,False,38.0,"(0.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
