,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
13,13,1966-09-11,1966,1,False,Washington Redskins,14.0,38.0,Cleveland Browns,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,65.0,"(8.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
24,24,1966-09-18,1966,2,False,St. Louis Cardinals,23.0,7.0,Washington Redskins,,"(0, 1)","(0, 1)",Busch Memorial Stadium,False,63.0,"(5.0, 0)","(72.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
35,35,1966-09-25,1966,3,False,Pittsburgh Steelers,27.0,33.0,Washington Redskins,,"(0, 1)","(0, 1)",Pitt Stadium,False,53.0,"(10.0, 0)","(80.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
46,46,1966-10-02,1966,4,False,Washington Redskins,24.0,10.0,Pittsburgh Steelers,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,48.0,"(5.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
57,57,1966-10-09,1966,5,False,Washington Redskins,33.0,20.0,Atlanta Falcons,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,59.0,"(4.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
66,66,1966-10-16,1966,6,False,New York Giants,13.0,10.0,Washington Redskins,,"(0, 1)","(0, 1)",Yankee Stadium,False,64.0,"(14.0, 0)","(81.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
79,79,1966-10-23,1966,7,False,Washington Redskins,26.0,20.0,St. Louis Cardinals,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,58.0,"(6.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
88,88,1966-10-30,1966,8,False,Philadelphia Eagles,13.0,27.0,Washington Redskins,,"(0, 1)","(0, 1)",Franklin Field,False,43.0,"(13.0, 0)","(42.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
91,91,1966-11-06,1966,9,False,Baltimore Colts,37.0,10.0,Washington Redskins,,"(0, 1)","(0, 1)",Memorial Stadium (Baltimore),False,47.0,"(15.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
112,112,1966-11-13,1966,10,False,Washington Redskins,30.0,31.0,Dallas Cowboys,,"(0, 1)","(0, 1)",RFK Memorial Stadium,False,40.0,"(8.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
